기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231101,,715,ST-310,,ST-3104,,1,5,910
20231101,,1855,ST-1291,,ST-1125,,1,14,950
20231101,,1300,ST-2974,,ST-35,,1,13,2320
20231101,,2125,ST-3047,,ST-1531,,1,24,3240
20231101,,1830,ST-1599,,ST-240,,1,6,740
20231101,,1710,ST-791,,ST-791,,1,0,0
20231101,,1140,ST-816,,ST-810,,1,66,3861
20231101,,1640,ST-1375,,ST-1375,,1,11,1290
20231101,,1920,ST-2815,,ST-3212,,1,8,956
20231101,,0,ST-534,,ST-2823,,1,58,7080
20231101,,1220,ST-1379,,ST-255,,1,3,847
20231101,,1830,ST-30,,ST-2204,,1,6,1360
20231101,,1315,ST-401,,ST-1625,,1,6,1165
20231101,,950,ST-679,,ST-919,,1,16,2591
20231101,,850,ST-1018,,ST-1699,,1,23,4262
20231101,,1540,ST-645,,ST-1391,,1,12,1800
20231101,,1730,ST-3142,,ST-1964,,1,14,1956
20231101,,2125,ST-359,,ST-268,,1,42,5434
20231101,,1200,ST-1718,,ST-2036,,1,3,678
20231101,,930,ST-211,,ST-2905,,1,38,176
20231101,,815,ST-110,,ST-2149,,1,5,1090
20231101,,1815,ST-2822,,ST-1667,,1,73,8118
20231101,,2320,ST-1994,,ST-417,,1,14,2151
20231101,,1655,ST-1251,,ST-824,,1,16,2260
20231101,,10,ST-1476,,ST-1119,,1,5,1318
20231101,,2315,ST-1762,,ST-1421,,1,7,548
20231101,,1855,ST-2365,,ST-2331,,1,50,11023
20231101,,1730,ST-20,,ST-1691,,1,46,2120
20231101,,1545,ST-1106,,ST-1109,,1,17,2539
20231101,,425,ST-664,,ST-3194,,1,19,3100
20231101,,1440,ST-2491,,ST-1251,,1,24,1070
20231101,,1330,ST-2031,,ST-1250,,1,13,2530
20231101,,1310,ST-2793,,ST-2232,,1,5,634
20231101,,1720,ST-1545,,ST-687,,1,112,4108
20231101,,1605,ST-2552,,ST-2483,,1,13,379
20231101,,1750,ST-2268,,ST-400,,1,22,3670
20231101,,1335,ST-2719,,ST-867,,1,7,1030
20231101,,845,ST-235,,ST-251,,1,4,730
20231101,,2015,ST-1476,,ST-1476,,1,40,3998
20231101,,735,ST-315,,ST-533,,1,16,2372
20231101,,1825,ST-234,,ST-234,,1,0,0
20231101,,1455,ST-1203,,ST-2898,,1,2,0
20231101,,1110,ST-2156,,ST-2156,,1,49,3990
20231101,,950,ST-3196,,ST-1149,,1,11,1267
20231101,,930,ST-2363,,ST-2364,,1,1,111
20231101,,520,ST-728,,ST-1983,,1,7,1664
20231101,,1850,ST-2888,,ST-2026,,1,17,1802
20231101,,705,ST-1439,,ST-1781,,1,7,930
20231101,,2020,ST-2762,,ST-2017,,1,12,1960
20231101,,2245,ST-699,,ST-699,,1,14,898
20231101,,1815,ST-371,,ST-2860,,1,44,7311
20231101,,1935,ST-1288,,ST-603,,1,30,190
